<1.0, 0.0, 0.0>,<-0.0, 1.0, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.0>,
<0.9945218953682733, 0.10452846326765346, 0.0>,<-0.10452846326765346, 0.9945218953682733, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.026185921569186924>,
<0.9781476007338057, 0.20791169081775931, 0.0>,<-0.20791169081775931, 0.9781476007338057, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.05240777928304119>,
<0.9510565162951535, 0.3090169943749474, 0.0>,<-0.3090169943749474, 0.9510565162951535, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.07870170682461844>,
<0.9135454576426009, 0.40673664307580015, 0.0>,<-0.40673664307580015, 0.9135454576426009, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.10510423526567646>,
<0.8660254037844387, 0.49999999999999994, 0.0>,<-0.49999999999999994, 0.8660254037844387, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.1316524975873958>,
<0.8090169943749475, 0.5877852522924731, 0.0>,<-0.5877852522924731, 0.8090169943749475, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.15838444032453627>,
<0.7431448254773942, 0.6691306063588582, 0.0>,<-0.6691306063588582, 0.7431448254773942, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.1853390449315344>,
<0.6691306063588582, 0.7431448254773941, 0.0>,<-0.7431448254773941, 0.6691306063588582, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.21255656167002213>,
<0.5877852522924731, 0.8090169943749475, 0.0>,<-0.8090169943749475, 0.5877852522924731, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.24007875908011603>,
<0.5000000000000001, 0.8660254037844386, 0.0>,<-0.8660254037844386, 0.5000000000000001, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.2679491924311227>,
<0.4067366430758002, 0.9135454576426009, 0.0>,<-0.9135454576426009, 0.4067366430758002, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.29621349496208016>,
<0.30901699437494745, 0.9510565162951535, 0.0>,<-0.9510565162951535, 0.30901699437494745, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.32491969623290623>,
<0.20791169081775945, 0.9781476007338056, 0.0>,<-0.9781476007338056, 0.20791169081775945, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.354118572530698>,
<0.10452846326765346, 0.9945218953682733, 0.0>,<-0.9945218953682733, 0.10452846326765346, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.38386403503541583>,
<6.123233995736766e-17, 1.0, 0.0>,<-1.0, 6.123233995736766e-17, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.41421356237309503>,
<-0.10452846326765333, 0.9945218953682734, 0.0>,<-0.9945218953682734, -0.10452846326765333, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.44522868530853615>,
<-0.20791169081775934, 0.9781476007338057, 0.0>,<-0.9781476007338057, -0.20791169081775934, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.4769755326981602>,
<-0.30901699437494734, 0.9510565162951536, 0.0>,<-0.9510565162951536, -0.30901699437494734, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.5095254494944288>,
<-0.4067366430758001, 0.913545457642601, 0.0>,<-0.913545457642601, -0.4067366430758001, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.5429556996384368>,
<-0.4999999999999998, 0.8660254037844387, 0.0>,<-0.8660254037844387, -0.4999999999999998, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.5773502691896257>,
<-0.587785252292473, 0.8090169943749475, 0.0>,<-0.8090169943749475, -0.587785252292473, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.6128007881399319>,
<-0.6691306063588582, 0.7431448254773942, 0.0>,<-0.7431448254773942, -0.6691306063588582, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.6494075931975106>,
<-0.7431448254773941, 0.6691306063588583, 0.0>,<-0.6691306063588583, -0.7431448254773941, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.6872809586016131>,
<-0.8090169943749473, 0.5877852522924732, 0.0>,<-0.5877852522924732, -0.8090169943749473, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.7265425280053609>,
<-0.8660254037844387, 0.49999999999999994, 0.0>,<-0.49999999999999994, -0.8660254037844387, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.7673269879789604>,
<-0.9135454576426008, 0.40673664307580043, 0.0>,<-0.40673664307580043, -0.9135454576426008, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.809784033195007>,
